text_id,passage_id,condition,author_id,author_name,work_id,work_title,qc_status,qc_flags,split
AUSTEN_EMMA_011__modernize,AUSTEN_EMMA_011,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_011__simplify,AUSTEN_EMMA_011,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_012__original,AUSTEN_EMMA_012,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_012__paraphrase,AUSTEN_EMMA_012,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_012__modernize,AUSTEN_EMMA_012,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_012__simplify,AUSTEN_EMMA_012,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_013__original,AUSTEN_EMMA_013,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_013__paraphrase,AUSTEN_EMMA_013,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_013__modernize,AUSTEN_EMMA_013,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_013__simplify,AUSTEN_EMMA_013,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_014__original,AUSTEN_EMMA_014,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_014__paraphrase,AUSTEN_EMMA_014,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_014__modernize,AUSTEN_EMMA_014,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_014__simplify,AUSTEN_EMMA_014,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_015__original,AUSTEN_EMMA_015,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_015__paraphrase,AUSTEN_EMMA_015,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_015__modernize,AUSTEN_EMMA_015,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_015__simplify,AUSTEN_EMMA_015,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_016__original,AUSTEN_EMMA_016,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_016__paraphrase,AUSTEN_EMMA_016,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_016__modernize,AUSTEN_EMMA_016,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_016__simplify,AUSTEN_EMMA_016,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_017__original,AUSTEN_EMMA_017,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_017__paraphrase,AUSTEN_EMMA_017,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_017__modernize,AUSTEN_EMMA_017,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_017__simplify,AUSTEN_EMMA_017,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_018__original,AUSTEN_EMMA_018,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_018__paraphrase,AUSTEN_EMMA_018,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_018__modernize,AUSTEN_EMMA_018,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_018__simplify,AUSTEN_EMMA_018,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_019__original,AUSTEN_EMMA_019,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_019__paraphrase,AUSTEN_EMMA_019,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_019__modernize,AUSTEN_EMMA_019,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_019__simplify,AUSTEN_EMMA_019,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_020__original,AUSTEN_EMMA_020,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_020__paraphrase,AUSTEN_EMMA_020,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_020__modernize,AUSTEN_EMMA_020,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_020__simplify,AUSTEN_EMMA_020,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_021__original,AUSTEN_EMMA_021,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_021__paraphrase,AUSTEN_EMMA_021,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_021__modernize,AUSTEN_EMMA_021,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_021__simplify,AUSTEN_EMMA_021,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_022__original,AUSTEN_EMMA_022,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_022__paraphrase,AUSTEN_EMMA_022,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_022__modernize,AUSTEN_EMMA_022,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_022__simplify,AUSTEN_EMMA_022,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_023__original,AUSTEN_EMMA_023,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_023__paraphrase,AUSTEN_EMMA_023,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_023__modernize,AUSTEN_EMMA_023,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_023__simplify,AUSTEN_EMMA_023,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_024__original,AUSTEN_EMMA_024,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_024__paraphrase,AUSTEN_EMMA_024,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_024__modernize,AUSTEN_EMMA_024,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_024__simplify,AUSTEN_EMMA_024,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_025__original,AUSTEN_EMMA_025,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_025__paraphrase,AUSTEN_EMMA_025,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_025__modernize,AUSTEN_EMMA_025,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_025__simplify,AUSTEN_EMMA_025,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_026__original,AUSTEN_EMMA_026,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_026__paraphrase,AUSTEN_EMMA_026,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_026__modernize,AUSTEN_EMMA_026,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_026__simplify,AUSTEN_EMMA_026,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_027__original,AUSTEN_EMMA_027,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_027__paraphrase,AUSTEN_EMMA_027,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_027__modernize,AUSTEN_EMMA_027,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_027__simplify,AUSTEN_EMMA_027,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_028__original,AUSTEN_EMMA_028,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_028__paraphrase,AUSTEN_EMMA_028,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_028__modernize,AUSTEN_EMMA_028,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_028__simplify,AUSTEN_EMMA_028,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_029__original,AUSTEN_EMMA_029,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_029__paraphrase,AUSTEN_EMMA_029,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_029__modernize,AUSTEN_EMMA_029,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_029__simplify,AUSTEN_EMMA_029,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_030__original,AUSTEN_EMMA_030,original,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_030__paraphrase,AUSTEN_EMMA_030,paraphrase,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_030__modernize,AUSTEN_EMMA_030,modernize,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_EMMA_030__simplify,AUSTEN_EMMA_030,simplify,austen,Jane Austen,emma,Emma,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_001__original,AUSTEN_PRIDE_AND_PREJUDICE_001,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_001__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_001,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_001__modernize,AUSTEN_PRIDE_AND_PREJUDICE_001,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_001__simplify,AUSTEN_PRIDE_AND_PREJUDICE_001,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_002__original,AUSTEN_PRIDE_AND_PREJUDICE_002,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_002__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_002,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_002__modernize,AUSTEN_PRIDE_AND_PREJUDICE_002,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_002__simplify,AUSTEN_PRIDE_AND_PREJUDICE_002,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_003__original,AUSTEN_PRIDE_AND_PREJUDICE_003,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_003__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_003,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_003__modernize,AUSTEN_PRIDE_AND_PREJUDICE_003,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_003__simplify,AUSTEN_PRIDE_AND_PREJUDICE_003,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_004__original,AUSTEN_PRIDE_AND_PREJUDICE_004,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_004__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_004,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_004__modernize,AUSTEN_PRIDE_AND_PREJUDICE_004,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_004__simplify,AUSTEN_PRIDE_AND_PREJUDICE_004,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_005__original,AUSTEN_PRIDE_AND_PREJUDICE_005,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_005__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_005,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,warning,length_soft_warning,train
AUSTEN_PRIDE_AND_PREJUDICE_005__modernize,AUSTEN_PRIDE_AND_PREJUDICE_005,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_005__simplify,AUSTEN_PRIDE_AND_PREJUDICE_005,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_006__original,AUSTEN_PRIDE_AND_PREJUDICE_006,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_006__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_006,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_006__modernize,AUSTEN_PRIDE_AND_PREJUDICE_006,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_006__simplify,AUSTEN_PRIDE_AND_PREJUDICE_006,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_007__original,AUSTEN_PRIDE_AND_PREJUDICE_007,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_007__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_007,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_007__modernize,AUSTEN_PRIDE_AND_PREJUDICE_007,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_007__simplify,AUSTEN_PRIDE_AND_PREJUDICE_007,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_008__original,AUSTEN_PRIDE_AND_PREJUDICE_008,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_008__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_008,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_008__modernize,AUSTEN_PRIDE_AND_PREJUDICE_008,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_008__simplify,AUSTEN_PRIDE_AND_PREJUDICE_008,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_009__original,AUSTEN_PRIDE_AND_PREJUDICE_009,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_009__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_009,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_009__modernize,AUSTEN_PRIDE_AND_PREJUDICE_009,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_009__simplify,AUSTEN_PRIDE_AND_PREJUDICE_009,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_010__original,AUSTEN_PRIDE_AND_PREJUDICE_010,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_010__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_010,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_010__modernize,AUSTEN_PRIDE_AND_PREJUDICE_010,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_010__simplify,AUSTEN_PRIDE_AND_PREJUDICE_010,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_011__original,AUSTEN_PRIDE_AND_PREJUDICE_011,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_011__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_011,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_011__modernize,AUSTEN_PRIDE_AND_PREJUDICE_011,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_011__simplify,AUSTEN_PRIDE_AND_PREJUDICE_011,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_012__original,AUSTEN_PRIDE_AND_PREJUDICE_012,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_012__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_012,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,warning,length_soft_warning,train
AUSTEN_PRIDE_AND_PREJUDICE_012__modernize,AUSTEN_PRIDE_AND_PREJUDICE_012,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_012__simplify,AUSTEN_PRIDE_AND_PREJUDICE_012,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,train
AUSTEN_PRIDE_AND_PREJUDICE_013__original,AUSTEN_PRIDE_AND_PREJUDICE_013,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_013__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_013,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_013__modernize,AUSTEN_PRIDE_AND_PREJUDICE_013,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_013__simplify,AUSTEN_PRIDE_AND_PREJUDICE_013,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_014__original,AUSTEN_PRIDE_AND_PREJUDICE_014,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_014__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_014,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_014__modernize,AUSTEN_PRIDE_AND_PREJUDICE_014,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_014__simplify,AUSTEN_PRIDE_AND_PREJUDICE_014,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_015__original,AUSTEN_PRIDE_AND_PREJUDICE_015,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_015__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_015,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_015__modernize,AUSTEN_PRIDE_AND_PREJUDICE_015,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_015__simplify,AUSTEN_PRIDE_AND_PREJUDICE_015,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_016__original,AUSTEN_PRIDE_AND_PREJUDICE_016,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_016__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_016,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_016__modernize,AUSTEN_PRIDE_AND_PREJUDICE_016,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_016__simplify,AUSTEN_PRIDE_AND_PREJUDICE_016,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_017__original,AUSTEN_PRIDE_AND_PREJUDICE_017,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_017__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_017,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_017__modernize,AUSTEN_PRIDE_AND_PREJUDICE_017,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_017__simplify,AUSTEN_PRIDE_AND_PREJUDICE_017,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_018__original,AUSTEN_PRIDE_AND_PREJUDICE_018,original,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
AUSTEN_PRIDE_AND_PREJUDICE_018__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_018,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,validation
